genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
,https://api.spotify.com/v1/artists/30ylfqYtMbJifAQq3N9Ove,30ylfqYtMbJifAQq3N9Ove,,T-killah,46,artist,spotify:artist:30ylfqYtMbJifAQq3N9Ove,https://open.spotify.com/artist/30ylfqYtMbJifAQq3N9Ove,NA,195418
,https://api.spotify.com/v1/artists/11xxTlht7fjgu5j0zOrZYh,11xxTlht7fjgu5j0zOrZYh,,Zomb,46,artist,spotify:artist:11xxTlht7fjgu5j0zOrZYh,https://open.spotify.com/artist/11xxTlht7fjgu5j0zOrZYh,NA,209667
,https://api.spotify.com/v1/artists/5W7N6u4EjCEMKj7bDyzPEC,5W7N6u4EjCEMKj7bDyzPEC,,Geegun,45,artist,spotify:artist:5W7N6u4EjCEMKj7bDyzPEC,https://open.spotify.com/artist/5W7N6u4EjCEMKj7bDyzPEC,NA,284434
,https://api.spotify.com/v1/artists/5uMClxnfkye15tg63lrwU8,5uMClxnfkye15tg63lrwU8,,Lesha Svik,47,artist,spotify:artist:5uMClxnfkye15tg63lrwU8,https://open.spotify.com/artist/5uMClxnfkye15tg63lrwU8,NA,305643
,https://api.spotify.com/v1/artists/4TjXA854eWs8P5EBgCbQmv,4TjXA854eWs8P5EBgCbQmv,,Jah Khalib,58,artist,spotify:artist:4TjXA854eWs8P5EBgCbQmv,https://open.spotify.com/artist/4TjXA854eWs8P5EBgCbQmv,NA,1209579
,https://api.spotify.com/v1/artists/0x9j5hqljRaIIGjDSmsLT0,0x9j5hqljRaIIGjDSmsLT0,,L'One,42,artist,spotify:artist:0x9j5hqljRaIIGjDSmsLT0,https://open.spotify.com/artist/0x9j5hqljRaIIGjDSmsLT0,NA,269197
,https://api.spotify.com/v1/artists/7yNqUSyJGymfJQghNU0zcH,7yNqUSyJGymfJQghNU0zcH,,Грибы,46,artist,spotify:artist:7yNqUSyJGymfJQghNU0zcH,https://open.spotify.com/artist/7yNqUSyJGymfJQghNU0zcH,NA,131794
,https://api.spotify.com/v1/artists/01lZudgXsojt5TBHuygB8r,01lZudgXsojt5TBHuygB8r,,T-Fest,53,artist,spotify:artist:01lZudgXsojt5TBHuygB8r,https://open.spotify.com/artist/01lZudgXsojt5TBHuygB8r,NA,646105
,https://api.spotify.com/v1/artists/6L5bLEtpxwd0KOdOr3gtW4,6L5bLEtpxwd0KOdOr3gtW4,,MiyaGi & Endspiel,63,artist,spotify:artist:6L5bLEtpxwd0KOdOr3gtW4,https://open.spotify.com/artist/6L5bLEtpxwd0KOdOr3gtW4,NA,1963092
,https://api.spotify.com/v1/artists/3oLccEy7y6zTe1gCFHxuWr,3oLccEy7y6zTe1gCFHxuWr,,Timati,54,artist,spotify:artist:3oLccEy7y6zTe1gCFHxuWr,https://open.spotify.com/artist/3oLccEy7y6zTe1gCFHxuWr,NA,447855
